iter	Passed	Remaining
0	46	46299
1	46	23296
2	47	15645
3	47	11806
4	47	9499
5	48	7964
6	48	6867
7	48	6045
8	49	5403
9	49	4890
10	49	4472
11	50	4130
12	50	3832
13	50	3580
14	51	3360
15	51	3167
16	51	2996
17	52	2844
18	52	2707
19	52	2583
20	53	2473
21	53	2373
22	53	2282
23	54	2198
24	54	2121
25	54	2050
26	55	1983
27	55	1921
28	55	1864
29	56	1811
30	56	1761
31	56	1714
32	56	1669
33	57	1628
34	57	1590
35	58	1554
36	58	1524
37	58	1492
38	59	1463
39	59	1435
40	60	1409
41	60	1387
42	61	1363
43	61	1340
44	62	1318
45	62	1296
46	63	1277
47	63	1257
48	63	1238
49	64	1220
50	64	1201
51	64	1183
52	65	1166
53	65	1149
54	65	1133
55	66	1118
56	66	1104
57	67	1089
58	67	1075
59	67	1062
60	68	1050
61	68	1037
62	68	1026
63	69	1014
64	69	1002
65	70	991
66	70	979
67	70	968
68	71	958
69	71	949
70	71	938
71	72	929
72	72	919
73	72	910
74	73	900
75	73	891
76	73	883
77	74	874
78	74	866
79	74	858
80	74	849
81	75	841
82	75	834
83	75	826
84	76	819
85	76	812
86	76	806
87	77	799
88	77	793
89	77	787
90	78	782
91	78	776
92	79	770
93	79	764
94	79	757
95	79	752
96	80	746
97	80	741
98	80	735
99	81	730
100	81	725
101	81	720
102	82	715
103	82	710
104	82	706
105	83	701
106	83	697
107	83	692
108	84	688
109	84	683
110	84	679
111	85	675
112	85	670
113	85	666
114	86	662
115	86	658
116	86	654
117	86	650
118	87	646
119	87	642
120	87	637
121	87	633
122	88	629
123	88	625
124	88	622
125	89	618
126	89	614
127	89	611
128	90	607
129	90	606
130	90	603
131	91	600
132	91	596
133	91	593
134	92	590
135	92	587
136	92	585
137	93	582
138	93	579
139	93	577
140	94	574
141	94	571
142	94	569
143	95	566
144	95	563
145	95	561
146	96	558
147	96	556
148	96	553
149	97	551
150	97	547
151	97	545
152	98	542
153	98	540
154	98	538
155	98	535
156	99	533
157	99	530
158	99	528
159	100	525
160	100	523
161	100	521
162	101	518
163	101	516
164	101	514
165	102	512
166	102	510
167	102	508
168	102	506
169	103	504
170	103	502
171	103	500
172	104	498
173	104	496
174	104	494
175	105	492
176	105	490
177	105	488
178	106	486
179	106	484
180	106	483
181	107	481
182	107	479
183	107	477
184	108	476
185	108	474
186	108	473
187	109	471
188	109	469
189	109	468
190	110	466
191	110	464
192	110	463
193	111	461
194	111	459
195	111	458
196	112	456
197	112	455
198	112	453
199	112	451
200	113	450
201	113	448
202	114	447
203	114	446
204	114	444
205	115	443
206	115	441
207	115	440
208	116	439
209	116	437
210	116	436
211	116	434
212	117	433
213	117	432
214	118	431
215	118	429
216	118	428
217	119	427
218	119	425
219	119	424
220	120	423
221	120	422
222	120	421
223	121	419
224	121	418
225	121	417
226	122	416
227	122	415
228	123	414
229	123	413
230	123	411
231	124	411
232	124	410
233	124	409
234	125	407
235	125	406
236	126	405
237	126	404
238	128	408
239	128	407
240	129	406
241	129	405
242	129	404
243	130	402
244	130	401
245	130	400
246	131	399
247	131	398
248	131	397
249	132	396
250	132	395
251	132	394
252	133	393
253	133	391
254	133	390
255	134	389
256	134	388
257	134	387
258	135	386
259	135	385
260	135	384
261	136	383
262	136	382
263	136	381
264	137	380
265	137	379
266	138	378
267	138	377
268	138	377
269	139	376
270	139	374
271	139	373
272	140	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	366
279	142	365
280	142	364
281	142	363
282	143	362
283	143	361
284	143	360
285	144	359
286	145	360
287	145	359
288	145	359
289	146	358
290	146	357
291	146	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	348
301	150	347
302	150	346
303	150	345
304	151	344
305	151	343
306	151	342
307	152	342
308	152	341
309	153	340
310	153	340
311	153	339
312	154	338
313	154	337
314	155	337
315	155	336
316	155	335
317	156	334
318	156	334
319	156	333
320	157	332
321	157	331
322	157	331
323	158	330
324	158	329
325	159	328
326	159	328
327	159	327
328	160	326
329	160	326
330	161	325
331	161	324
332	161	324
333	162	323
334	162	322
335	163	322
336	163	321
337	163	320
338	164	320
339	164	319
340	164	318
341	165	317
342	165	317
343	165	316
344	166	315
345	166	315
346	167	314
347	167	313
348	167	312
349	168	312
350	168	311
351	168	310
352	169	309
353	169	309
354	169	308
355	170	307
356	170	306
357	170	306
358	171	305
359	171	304
360	171	304
361	172	303
362	172	302
363	172	301
364	173	301
365	173	300
366	173	299
367	174	298
368	174	298
369	174	297
370	175	296
371	175	295
372	175	295
373	175	294
374	176	293
375	176	293
376	176	292
377	177	291
378	177	290
379	177	290
380	178	289
381	178	288
382	178	288
383	179	287
384	179	286
385	179	285
386	180	285
387	180	284
388	180	283
389	180	283
390	181	282
391	181	281
392	181	280
393	182	280
394	182	279
395	182	278
396	183	278
397	183	277
398	183	276
399	184	276
400	184	275
401	184	274
402	185	274
403	185	273
404	185	273
405	186	272
406	186	271
407	186	271
408	187	270
409	187	269
410	187	269
411	188	268
412	188	268
413	188	267
414	189	266
415	189	266
416	189	265
417	190	265
418	190	264
419	191	264
420	191	263
421	192	263
422	192	262
423	192	262
424	193	261
425	193	260
426	194	260
427	194	259
428	194	259
429	195	258
430	195	258
431	195	257
432	196	256
433	196	256
434	196	255
435	196	254
436	197	254
437	197	253
438	197	252
439	198	252
440	198	251
441	198	251
442	199	250
443	199	249
444	199	249
445	200	248
446	200	248
447	200	247
448	201	246
449	201	246
450	201	245
451	202	245
452	202	244
453	202	243
454	203	243
455	203	242
456	206	245
457	207	245
458	207	245
459	208	244
460	209	244
461	209	244
462	209	243
463	210	242
464	210	242
465	211	241
466	211	241
467	211	240
468	212	240
469	212	239
470	213	239
471	213	238
472	214	238
473	214	237
474	214	237
475	215	236
476	215	236
477	215	235
478	216	235
479	216	234
480	216	234
481	217	233
482	217	232
483	218	232
484	218	231
485	218	231
486	219	230
487	219	230
488	219	229
489	220	229
490	220	228
491	221	228
492	221	227
493	221	227
494	222	226
495	222	226
496	223	225
497	223	225
498	223	224
499	224	224
500	224	223
501	224	223
502	225	222
503	225	222
504	226	221
505	226	221
506	227	220
507	227	220
508	227	219
509	228	219
510	228	218
511	229	218
512	229	218
513	230	217
514	230	217
515	230	216
516	231	215
517	231	215
518	231	214
519	232	214
520	232	213
521	233	213
522	233	212
523	233	212
524	234	211
525	234	211
526	234	210
527	235	210
528	235	209
529	236	209
530	236	208
531	236	208
532	237	207
533	237	207
534	238	206
535	238	206
536	238	205
537	239	205
538	239	204
539	239	204
540	240	203
541	240	203
542	241	202
543	241	202
544	241	201
545	242	201
546	242	200
547	242	200
548	243	199
549	243	199
550	244	199
551	244	198
552	245	198
553	245	198
554	246	197
555	246	197
556	247	196
557	248	196
558	248	196
559	249	196
560	250	195
561	250	195
562	251	194
563	251	194
564	252	194
565	252	193
566	252	193
567	253	192
568	253	192
569	254	191
570	255	191
571	255	191
572	255	190
573	256	190
574	256	189
575	256	189
576	257	188
577	257	188
578	257	187
579	258	186
580	258	186
581	258	185
582	259	185
583	259	185
584	260	184
585	260	183
586	260	183
587	261	182
588	261	182
589	261	181
590	262	181
591	262	180
592	262	180
593	263	179
594	263	179
595	263	178
596	264	178
597	264	177
598	264	177
599	265	176
600	265	176
601	266	175
602	266	175
603	266	174
604	267	174
605	267	173
606	268	174
607	269	173
608	270	173
609	270	173
610	271	172
611	271	172
612	273	172
613	273	172
614	274	171
615	274	171
616	276	171
617	276	170
618	276	170
619	277	170
620	278	169
621	279	169
622	280	169
623	280	168
624	281	168
625	281	168
626	282	168
627	283	167
628	283	167
629	284	166
630	284	166
631	286	166
632	287	166
633	287	165
634	288	166
635	289	165
636	290	165
637	291	165
638	292	165
639	293	164
640	293	164
641	294	164
642	294	163
643	295	163
644	296	163
645	297	162
646	297	162
647	298	162
648	299	161
649	299	161
650	300	161
651	301	160
652	302	160
653	303	160
654	304	160
655	304	159
656	304	159
657	305	158
658	307	158
659	307	158
660	308	158
661	308	157
662	308	157
663	309	156
664	309	155
665	309	155
666	310	154
667	310	154
668	311	153
669	311	153
670	312	152
671	312	152
672	312	151
673	313	151
674	313	150
675	313	150
676	314	150
677	315	149
678	315	149
679	315	148
680	315	148
681	316	147
682	316	146
683	316	146
684	317	145
685	317	145
686	317	144
687	318	144
688	318	143
689	318	143
690	319	142
691	319	142
692	319	141
693	320	141
694	320	140
695	320	140
696	321	139
697	321	139
698	321	138
699	321	137
700	322	137
701	322	136
702	322	136
703	323	135
704	323	135
705	323	134
706	323	134
707	324	133
708	324	133
709	324	132
710	325	132
711	325	131
712	325	131
713	326	130
714	326	130
715	326	129
716	327	129
717	327	128
718	328	128
719	328	127
720	328	127
721	329	126
722	329	126
723	329	125
724	330	125
725	330	124
726	330	124
727	331	123
728	331	123
729	331	122
730	332	122
731	332	121
732	332	121
733	333	120
734	333	120
735	333	119
736	333	119
737	334	118
738	334	118
739	334	117
740	335	117
741	335	116
742	335	116
743	336	115
744	336	115
745	336	114
746	337	114
747	337	113
748	337	113
749	338	112
750	338	112
751	338	111
752	339	111
753	339	110
754	339	110
755	340	109
756	340	109
757	340	108
758	341	108
759	341	107
760	341	107
761	342	106
762	342	106
763	342	105
764	343	105
765	343	104
766	343	104
767	344	103
768	344	103
769	344	102
770	345	102
771	345	101
772	345	101
773	345	100
774	346	100
775	346	100
776	346	99
777	347	99
778	347	98
779	348	98
780	348	97
781	349	97
782	350	97
783	350	96
784	351	96
785	351	95
786	352	95
787	352	94
788	353	94
789	354	94
790	355	93
791	355	93
792	356	93
793	357	92
794	357	92
795	358	91
796	358	91
797	359	91
798	360	90
799	360	90
800	361	89
801	361	89
802	362	88
803	363	88
804	363	88
805	364	87
806	364	87
807	365	86
808	366	86
809	366	86
810	367	85
811	368	85
812	369	84
813	369	84
814	370	84
815	371	83
816	371	83
817	372	82
818	373	82
819	373	82
820	374	81
821	375	81
822	375	80
823	376	80
824	376	79
825	376	79
826	377	78
827	377	78
828	377	77
829	378	77
830	378	76
831	378	76
832	379	75
833	379	75
834	379	75
835	380	74
836	381	74
837	381	73
838	382	73
839	382	72
840	383	72
841	383	71
842	383	71
843	384	71
844	384	70
845	384	70
846	385	69
847	385	69
848	385	68
849	386	68
850	386	67
851	386	67
852	387	66
853	387	66
854	387	65
855	388	65
856	388	64
